#{"t_start": 1743683177.9754236, "env_id": "None"}
r,l,t
22.9,9,25.691842
-6.1,20,25.711117
-14.1,20,25.731975
-7.7,20,25.757479
2.1,20,25.781603
18.1,17,25.810739
-10.7,20,25.839579
-3.7,20,25.866042
1.1,20,25.892156
24.7,9,25.904283
1.5,20,25.922514
5.3,20,25.940164
-1.3,20,25.970263
25.5,13,25.983683
31.9,20,26.005988
23.5,19,26.032377
29.7,18,26.05033
-3.7,20,26.071625
10.9,20,26.089688
-3.1,20,26.10808
-10.7,20,26.125875
-26.9,20,26.142879
21.1,17,26.15972
3.3,20,26.182237
-1.1,20,26.206874
24.7,17,26.226125
-12.3,20,26.24464
-7.1,20,26.269981
2.3,20,26.289714
-4.3,20,26.319663
5.7,20,26.350817
17.3,18,26.374421
0.3,20,26.40083
27.7,10,26.418027
-0.3,20,26.444991
-18.5,20,26.486934
-7.3,20,26.511424
-5.9,20,26.535918
0.5,20,26.558113
10.9,20,26.578204
23.1,12,26.591591
26.3,16,26.61318
8.7,20,26.634656
-22.3,20,26.655336
-10.1,20,26.68163
-3.7,20,26.710989
26.3,16,26.73115
-3.5,20,26.750915
-26.9,20,26.7733
-1.9,20,26.798174
13.5,15,26.821671
14.7,20,26.853642
15.9,20,26.884812
1.3,20,26.919793
-14.9,20,26.94852
-3.9,20,26.968546
18.5,11,26.979565
-8.3,20,27.007514
-10.9,20,27.030781
-25.5,20,27.055726
-3.5,20,27.081647
25.9,18,27.102633
8.1,20,27.124899
9.7,20,27.145553
-8.1,20,27.163285
-0.1,20,27.23983
-14.7,20,27.282323
-4.9,20,27.30979
-23.9,20,27.335033
19.5,20,27.366929
-4.1,20,27.395831
-3.5,20,27.425606
-3.5,20,27.439657
24.5,11,27.461634
-15.7,20,27.482811
9.3,18,27.499757
29.9,17,27.527089
12.1,11,27.538116
15.5,10,27.549783
-22.7,20,27.56453
18.3,19,27.585303
-5.1,20,27.605067
15.9,20,27.623493
1.5,20,27.643972
-2.1,20,27.661686
-3.9,20,27.681957
-4.3,20,27.699882
-13.9,20,27.71895
19.7,18,27.731209
4.9,20,27.768911
22.7,9,27.778113
12.7,20,27.800186
9.9,20,27.831873
0.7,20,27.859971
20.1,12,27.878816
9.1,20,27.906767
6.9,20,27.929676
-18.7,20,27.966927
14.1,12,27.980325
4.7,20,28.000984
5.9,20,28.024782
11.7,20,28.049554
-7.7,20,28.074637
-2.9,20,28.099926
4.5,20,28.123763
-1.3,20,28.152255
23.5,10,28.167109
9.5,20,28.19248
-16.1,20,28.211951
-6.9,20,28.234547
-9.9,20,28.25831
5.9,20,28.279574
10.3,20,28.29959
5.5,20,28.337661
-6.9,20,28.363685
18.3,16,28.384354
1.3,20,28.413205
-7.1,20,28.446373
-10.9,20,28.477782
-7.9,20,28.499532
-2.5,20,28.528386
-4.9,20,28.567219
-18.7,20,28.6072
-2.9,20,28.644082
-3.7,20,28.678118
-1.7,20,28.717241
0.3,20,28.756925
-2.1,20,28.788424
-10.7,20,28.81202
-10.1,20,28.849708
24.4,8,28.863659
14.3,11,28.884721
-18.7,20,28.925773
17.9,13,28.949954
-10.9,20,28.991536
-7.9,20,29.029679
5.5,20,29.068652
12.5,20,29.106278
-11.5,20,29.141579
4.9,20,29.179905
-1.1,20,29.217002
8.9,20,29.249586
4.5,20,29.301973
3.5,20,29.328996
6.7,20,29.355963
8.7,20,29.389648
3.9,20,29.416792
-3.9,20,29.44966
-13.5,20,29.479885
23.9,7,29.490912
14.7,20,29.526714
-6.9,20,29.547108
16.3,12,29.559749
17.7,13,29.575833
-1.5,20,29.596953
-10.1,20,29.625294
-6.9,20,29.647341
-6.7,20,29.66992
13.9,11,29.686915
-11.7,20,29.711661
7.1,20,29.729632
-9.9,20,29.75503
16.9,19,29.7737
-0.7,20,29.795736
-1.7,20,29.822661
