#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
13.5,20,35.394505
25.9,20,35.394505
34.7,20,35.410821
11.9,20,35.429415
33.3,20,35.457728
23.7,20,35.476746
23.7,20,35.490611
32.7,20,35.507365
27.7,20,35.520776
27.7,20,35.536672
27.5,20,35.552629
22.3,20,35.553219
20.3,20,35.56859
28.3,20,35.584638
27.9,20,35.610893
15.9,20,35.632424
21.7,20,35.653843
31.1,20,35.664078
18.7,20,35.69307
29.5,17,35.704132
32.3,20,36.486266
28.5,20,36.50946
19.1,20,36.527495
25.3,20,36.536673
31.1,20,36.561125
26.3,20,36.580673
27.9,20,36.596663
25.3,20,36.621402
28.9,20,36.643942
31.5,20,36.664624
26.3,20,36.691386
35.5,20,36.711316
19.3,20,36.723065
22.7,20,36.751311
17.5,20,36.765268
33.7,20,36.786551
23.7,20,36.802564
24.3,20,36.818596
19.7,20,36.834637
28.1,20,36.852174
21.7,20,36.8666
24.9,20,36.882374
25.1,20,36.898121
32.3,20,36.911917
30.3,20,36.913964
35.5,20,36.930125
26.3,20,36.945828
23.5,20,36.993582
12.1,20,37.012007
35.3,20,37.027545
19.5,20,37.04332
9.1,20,37.059096
20.3,20,37.072865
29.9,20,37.081422
20.5,20,37.088538
20.7,20,37.112404
20.3,20,37.128323
23.9,20,37.136292
25.7,20,37.167754
32.3,20,37.187888
30.5,20,37.205073
31.7,20,37.225095
24.5,20,37.246648
34.5,20,37.262614
21.7,20,37.278077
32.5,20,37.294228
21.9,20,37.310158
19.9,20,37.324712
24.3,20,37.326219
27.9,20,37.341921
30.7,20,37.357909
29.7,20,38.166996
23.7,20,38.190735
31.3,20,38.214196
30.3,20,38.23671
27.1,20,38.258152
43.3,19,38.274204
36.1,20,38.308001
28.9,20,38.325265
25.9,20,38.337035
28.3,20,38.353072
28.1,20,38.368775
30.3,20,38.38444
28.9,20,38.403664
26.5,20,38.431945
33.7,20,38.44774
27.9,20,38.463701
31.7,20,38.481355
32.5,20,38.495149
27.3,20,38.513436
28.3,20,38.526558
19.7,20,38.542625
28.5,20,38.558302
35.5,20,38.573991
28.5,20,38.589855
30.1,20,38.589855
27.9,20,38.615063
26.7,20,38.659183
30.3,20,38.677213
28.9,20,38.698594
21.9,20,38.720531
29.7,20,38.732757
28.1,20,38.755136
33.5,20,38.764498
29.7,20,38.792537
22.3,20,38.815197
30.9,20,38.829254
23.9,20,38.840134
20.3,20,38.856156
36.9,20,38.872075
24.1,20,38.888101
31.9,20,38.908736
32.7,20,38.927356
31.3,20,38.937996
33.3,20,38.958668
23.9,20,38.967886
26.9,20,38.983761
23.3,20,38.999588
26.1,20,39.019911
21.7,20,39.037981
23.3,20,39.054808
32.1,20,39.072304
25.9,20,40.079725
26.7,20,40.100649
32.9,20,40.121078
28.3,20,40.142135
22.7,20,40.168221
35.3,20,40.194198
35.5,20,40.215906
28.7,20,40.235813
31.9,20,40.261731
27.7,20,40.278201
35.5,20,40.294817
27.5,20,40.321436
16.9,20,40.339162
24.3,20,40.356782
28.3,20,40.374482
31.5,20,40.391174
25.1,20,40.410179
33.9,20,40.431628
33.5,20,40.450406
26.3,20,40.470771
22.9,20,40.485012
34.9,20,40.509228
